latitud,longitud,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,target,Coordinates,geometry
23.04946,-109.68059,0.0022318536930189038,0.19372174613856769,-0.0034337642943854186,-0.08112079076210156,0.0061861121799488385,0.00023080035208518054,-0.008666379752079885,4,Amarillo,POINT (-109.68059 23.04946),POINT (-109.68059 23.04946)
23.06673,-109.64452,0.5096418095494478,-0.005025222225126214,-0.015564929447066127,-0.009303612305602383,-0.037291418315564206,0.11125059985634767,-0.00780499844971258,4,Verde,POINT (-109.64452 23.06673),POINT (-109.64452 23.06673)
23.01398,-109.71361,0.46384463874777165,-0.005070401727931972,-0.01805004498755874,-0.007968734879866952,-0.008247971054910673,0.11852595597681034,-0.010373093596340428,4,Verde,POINT (-109.71361 23.01398),POINT (-109.71361 23.01398)
20.69907,-90.45546,0.006786228983997989,-0.007108463166832077,-0.013398776808281903,-0.009647568415453008,0.017578909798774963,-0.0006767547599886012,-0.008719250002226776,1,Verde,POINT (-90.45546 20.69907),POINT (-90.45546 20.69907)
20.44502,-90.50431,0.14199781086049912,-0.006777882891136255,-0.011848450746601173,-0.011775515028492837,-0.014353118640313682,-0.08502814644264901,-0.009365077307613106,1,Verde,POINT (-90.50431 20.44502),POINT (-90.50431 20.44502)
20.33071,-90.49591,0.0029849275103174364,-0.007236274182881492,-0.011892343034506267,-0.010530559627964252,0.004221749795292186,-0.00018104621898920963,-0.009590425287404935,1,Verde,POINT (-90.49591 20.33071),POINT (-90.49591 20.33071)
20.25984,-90.49703,0.12884604894978582,-0.0068667759827660425,-0.011113949011856805,-0.012042908566377242,-0.019260274743740056,-0.0778797835001501,-0.009196952894448463,1,Verde,POINT (-90.49703 20.25984),POINT (-90.49703 20.25984)
20.0496,-90.4997,0.08953930549380278,-0.007056759681106102,-0.009748764499389597,-0.012283332680167056,-0.02656848402655258,-0.055549657072561744,-0.007435158867247314,1,Verde,POINT (-90.4997 20.0496),POINT (-90.4997 20.0496)
19.87422,-90.51683,0.10212326964763742,-0.007006215296008881,-0.009955391371324564,-0.012290251659716882,-0.025946913799673055,-0.0629257771909856,-0.0077944482819733195,1,Verde,POINT (-90.51683 19.87422),POINT (-90.51683 19.87422)
19.81477,-90.59334,0.07835311851827909,-0.007094961182739582,-0.009560350915450771,-0.012229280941048411,-0.026861774726611515,-0.048959850072952574,-0.006773121726479189,1,Verde,POINT (-90.59334 19.81477),POINT (-90.59334 19.81477)
19.79481,-90.62183,0.1136666851272415,-0.006914471349613146,-0.010844229542612752,-0.011951180895402173,-0.01981175604895671,-0.06895875383380949,-0.007994427928789563,1,Verde,POINT (-90.62183 19.79481),POINT (-90.62183 19.79481)
19.79623,-90.61815,0.17509016293304083,-0.006559220519214498,-0.013480055552561241,-0.01115670208717547,-0.003622142478426166,-0.10322937212492911,-0.00932215027269595,1,Verde,POINT (-90.61815 19.79623),POINT (-90.61815 19.79623)
19.6606,-90.70394,0.020525803059898953,-0.007187796572257003,-0.011365248098335739,-0.010842699357897122,-0.002949474266171017,-0.011528008486649073,-0.008061184972997813,1,Verde,POINT (-90.70394 19.6606),POINT (-90.70394 19.6606)
19.46154,-90.70601,-0.0009941460091796538,-0.007249862784290618,-0.010350575214431322,-0.010813876844077709,-0.00967392673069239,0.00032753903294103744,-0.0035226556045073777,1,Verde,POINT (-90.70601 19.46154),POINT (-90.70601 19.46154)
19.35815,-90.72509,-0.05719329227264736,-0.00892858705934043,0.012383772645606878,-0.022642496601227042,-0.20695809864371434,0.007638895159282639,-0.0032466453386649176,1,Amarillo,POINT (-90.72509 19.35815),POINT (-90.72509 19.35815)
19.28103,-90.61368,0.002458533307544541,0.03831500770854243,-0.010029387986776224,-0.022189390739006602,0.0034069463666347457,-3.744615382779701e-05,-0.00922375068999466,1,Rojo,POINT (-90.61368 19.28103),POINT (-90.61368 19.28103)
19.29644,-90.57425,0.002381041320949986,0.07348555918336815,-0.008620968545773662,-0.033398252912572673,0.003933954922763818,2.704674924093215e-05,-0.009131613493372706,1,Rojo,POINT (-90.57425 19.29644),POINT (-90.57425 19.29644)
19.30365,-90.46921,0.0023042751001486903,0.09752159519834959,-0.00792115549704756,-0.03510418469682379,0.004006531660697732,3.75484094098239e-05,-0.00817850874368412,1,Rojo,POINT (-90.46921 19.30365),POINT (-90.46921 19.30365)
19.10951,-91.01078,-0.017842368210846605,-0.007745979040838855,-0.003499035060840631,-0.014314538789458637,-0.06881074657161838,0.002518890350770469,-0.002958306251243211,1,Verde,POINT (-91.01078 19.10951),POINT (-91.01078 19.10951)
19.21135,-90.86936,-0.020471040344262205,-0.007816411129900827,-0.002440870304482434,-0.014825229874609006,-0.07803298030865015,0.002860175634768176,-0.0024806509501122034,1,Verde,POINT (-90.86936 19.21135),POINT (-90.86936 19.21135)
18.96285,-90.71163,-0.024875628862761717,-0.007453559348524236,-0.000859295734171385,-0.01476029727006564,-0.09241361781763208,0.002943592010776776,-0.00703971863066975,1,Verde,POINT (-90.71163 18.96285),POINT (-90.71163 18.96285)
18.64079,-90.29456,0.07605193339453216,-0.002659120645090877,-0.02475960352411651,0.0034986172629099623,0.10749213019685498,-0.03133973885327704,-0.011930586093141342,1,Rojo,POINT (-90.29456 18.64079),POINT (-90.29456 18.64079)
18.64156,-90.27489,-0.15069709950350538,-0.0014018769619260356,-0.02887871767202818,0.011747020045063866,0.17377206799175682,0.11273594805633597,-0.014177519819446503,1,Rojo,POINT (-90.27489 18.64156),POINT (-90.27489 18.64156)
18.49958,-90.27154,-0.06129435685806471,-0.001834671775310388,-0.007719585198891676,0.0011357658850027477,-0.028927583149557682,0.03351919437804227,-0.008227121797435061,1,Rojo,POINT (-90.27154 18.49958),POINT (-90.27154 18.49958)
